* If the 17th wire is silver, cut the 10th wire.
* If there are exactly 4 scarlet wires, cut the 8th wire.
* If there are exactly 14 flint wires, cut the 6th wire.
* If there are exactly 3 porcelain wires, cut the 14th wire.
* If there are more than 11 coconut wires, cut the 11th wire.
* If there are exactly 7 basil wires, cut the 5th wire.
* If there are exactly 4 banana wires, cut the 18th wire.
* If there are exactly 8 pickle wires, cut the 1st wire.
* If the 7th wire is caramel, cut the 18th wire.
* If there are more than 9 crimson wires, cut the 16th wire.
* If there are exactly 10 ash wires, cut the 14th wire.
* If there are more than 16 frost wires, cut the 15th wire.
* If the 15th wire is fawn, cut the 19th wire.
* If there are exactly 13 scarlet wires, cut the 16th wire.
* If the 17th wire is emerald, cut the 18th wire.
* If there are exactly 13 candy wires, cut the 5th wire.
* If there are more than 10 brown wires, cut the 15th wire.
* If there are exactly 11 rouge wires, cut the 10th wire.
* If there are exactly 16 latte wires, cut the 14th wire.
* If the 3rd wire is flint, cut the 13th wire.
* If the 3rd wire is silver, cut the 2nd wire.
* If there are more than 16 corn wires, cut the 15th wire.
* If the 17th wire is wood, cut the 17th wire.
* If there are exactly 9 fern wires, cut the 6th wire.
* If the 4th wire is hickory, cut the 4th wire.
* If the 12th wire is carrot, cut the 18th wire.
* If there are exactly 3 jade wires, cut the 10th wire.
* If there are exactly 8 penny wires, cut the 5th wire.
* If there are exactly 14 iris wires, cut the 9th wire.
* If there are exactly 2 watermelon wires, cut the 13th wire.
* If the 14th wire is arctic, cut the 5th wire.
* If there are exactly 9 blue wires, cut the 3rd wire.
* If there are exactly 7 iris wires, cut the 8th wire.
* If the 8th wire is ivory, cut the 4th wire.
* If there are exactly 18 coffee wires, cut the 1st wire.
* If the 2nd wire is wood, cut the 6th wire.
* If there are exactly 14 arctic wires, cut the 15th wire.
* If the 5th wire is plum, cut the 8th wire.
* If there are exactly 4 brown wires, cut the 20th wire.
* If there are exactly 11 rouge wires, cut the 3rd wire.
* If there are more than 14 daisy wires, cut the 19th wire.
* If the 11th wire is emerald, cut the 17th wire.
* If the 5th wire is violet, cut the 1st wire.
* If there are exactly 9 brown wires, cut the 3rd wire.
* If the 12th wire is ivory, cut the 19th wire.
* If the 5th wire is berry, cut the 3rd wire.
* If there are more than 10 pickle wires, cut the 4th wire.
* If there are exactly 9 rouge wires, cut the 1st wire.
* If the 18th wire is amethyst, cut the 5th wire.
* If the 8th wire is coffee, cut the 8th wire.
* If the 9th wire is fawn, cut the 2nd wire.
* If there are exactly 11 obsidian wires, cut the 7th wire.
* If there are more than 12 tiger wires, cut the 1st wire.
* If there are exactly 3 granola wires, cut the 8th wire.
* If there are exactly 12 purple wires, cut the 5th wire.
* If there are more than 17 rose wires, cut the 10th wire.
* If the 13th wire is lemon, cut the 4th wire.
* If the 14th wire is gold, cut the 11th wire.
* If the 1st wire is apricot, cut the 17th wire.
* If there are exactly 3 black wires, cut the 2nd wire.
* If the 15th wire is magenta, cut the 12th wire.
* If there is exactly 1 lead wire, cut the 20th wire.
* If the 10th wire is sandstone, cut the 16th wire.
* If there are exactly 8 blood wires, cut the 11th wire.
* If there is exactly 1 frost wire, cut the 11th wire.
* If the 5th wire is hickory, cut the 13th wire.
* If there are exactly 20 white wires, cut the 20th wire.
* If there are more than 14 purple wires, cut the 11th wire.
* If there are exactly 5 latte wires, cut the 3rd wire.
* If there is exactly 1 iron wire, cut the 8th wire.
* If the 2nd wire is cotton, cut the 2nd wire.
* If the 17th wire is lapis, cut the 18th wire.
* If there are exactly 4 sky wires, cut the 19th wire.
* If the 18th wire is jade, cut the 5th wire.
* If there are exactly 15 black wires, cut the 4th wire.
* If there are exactly 8 rosewood wires, cut the 14th wire.
* If the 13th wire is gray, cut the 4th wire.
* If the 14th wire is chocolate, cut the 14th wire.
* If the 6th wire is silver, cut the 3rd wire.
* If there are exactly 10 oyster wires, cut the 1st wire.
* If the 20th wire is white, cut the 3rd wire.
* If the 20th wire is ivory, cut the 10th wire.
* If the 11th wire is stone, cut the 19th wire.
* If the 2nd wire is gray, cut the 19th wire.
* If there are exactly 2 lead wires, cut the 6th wire.
* If the 2nd wire is shortbread, cut the 16th wire.
* If there are exactly 16 crepe wires, cut the 4th wire.
* If there are exactly 3 buttermilk wires, cut the 2nd wire.
* If there are exactly 15 bone wires, cut the 15th wire.
* If the 18th wire is apricot, cut the 3rd wire.
* If there are exactly 15 peach wires, cut the 15th wire.
* If the 15th wire is latte, cut the 20th wire.
* If the 2nd wire is arctic, cut the 8th wire.
* If there are exactly 17 rust wires, cut the 15th wire.
* If the 15th wire is cobalt, cut the 5th wire.
* If there are more than 17 pineapple wires, cut the 9th wire.
* If the 20th wire is violet, cut the 18th wire.
* If there are more than 9 grape wires, cut the 9th wire.
* If there are exactly 2 porcelain wires, cut the 10th wire.
* If there are exactly 14 crepe wires, cut the 10th wire.
* If the 10th wire is butter, cut the 6th wire.
* If there are exactly 2 pineapple wires, cut the 19th wire.
* If there are exactly 10 teal wires, cut the 11th wire.
* If the 18th wire is cloud, cut the 6th wire.
* If the 18th wire is cherry, cut the 14th wire.
* If there are exactly 11 stone wires, cut the 9th wire.
* If there are exactly 15 rust wires, cut the 15th wire.
* If the 16th wire is scarlet, cut the 6th wire.
* If there are exactly 15 wine wires, cut the 2nd wire.
* If there are exactly 13 shamrock wires, cut the 4th wire.
* If there are more than 17 daisy wires, cut the 15th wire.
* If the 19th wire is shortbread, cut the 10th wire.
* If the 7th wire is fern, cut the 12th wire.
* If there are exactly 9 teal wires, cut the 6th wire.
* If there are exactly 7 coral wires, cut the 16th wire.
* If the 9th wire is berry, cut the 18th wire.
* If there are more than 10 butter wires, cut the 18th wire.
* If the 9th wire is teal, cut the 6th wire.
* If there are exactly 9 emerald wires, cut the 6th wire.
* If there are exactly 6 cloud wires, cut the 12th wire.
* If the 4th wire is caramel, cut the 20th wire.
* If the 6th wire is stone, cut the 14th wire.
* If there are exactly 18 chocolate wires, cut the 18th wire.
* If there are exactly 15 gold wires, cut the 4th wire.
* If there are exactly 7 ruby wires, cut the 18th wire.
* If there are exactly 6 coconut wires, cut the 1st wire.
* If the 7th wire is brown, cut the 16th wire.
* If the 16th wire is carrot, cut the 14th wire.
* If there are exactly 13 hickory wires, cut the 11th wire.
* If there are exactly 11 stone wires, cut the 10th wire.
* If the 10th wire is sand, cut the 4th wire.
* If the 2nd wire is bronze, cut the 19th wire.
* If the 2nd wire is cloud, cut the 2nd wire.
* If there are exactly 3 grape wires, cut the 11th wire.
* If there are exactly 7 latte wires, cut the 11th wire.
* If there are exactly 16 jade wires, cut the 12th wire.
* If the 18th wire is black, cut the 9th wire.
* If the 20th wire is pear, cut the 6th wire.
* If there are more than 8 sandstone wires, cut the 16th wire.
* If the 13th wire is yellow, cut the 4th wire.
* If there are exactly 20 pickle wires, cut the 3rd wire.
* If there are exactly 7 azure wires, cut the 1st wire.
* If the 7th wire is banana, cut the 9th wire.
* If the 13th wire is rust, cut the 19th wire.
* If the 5th wire is purple, cut the 18th wire.
* If there are exactly 18 pink wires, cut the 10th wire.
* If the 19th wire is pineapple, cut the 1st wire.
* If the 18th wire is wine, cut the 17th wire.
* If there are more than 8 ruby wires, cut the 13th wire.
* If there is exactly 1 pear wire, cut the 9th wire.
* If there are exactly 6 gold wires, cut the 13th wire.
* If the 19th wire is macaroon, cut the 17th wire.
* If the 11th wire is granola, cut the 4th wire.
* If there are exactly 19 peach wires, cut the 9th wire.
* If the 10th wire is rouge, cut the 1st wire.
* If the 7th wire is orchid, cut the 16th wire.
* If there are exactly 18 ivory wires, cut the 10th wire.
* If there are exactly 17 penny wires, cut the 5th wire.
* If the 7th wire is seaweed, cut the 14th wire.
* If there are exactly 13 cherry wires, cut the 14th wire.
* If the 8th wire is bronze, cut the 5th wire.
* If there is exactly 1 green wire, cut the 13th wire.
* If there are exactly 17 candy wires, cut the 8th wire.
* If the 10th wire is eggplant, cut the 14th wire.
* If there are exactly 3 rust wires, cut the 18th wire.
* If there is exactly 1 wood wire, cut the 20th wire.
* If there are exactly 7 pink wires, cut the 17th wire.
* If the 13th wire is cotton, cut the 19th wire.
* If there are exactly 15 macaroon wires, cut the 1st wire.
* If there are more than 8 blue wires, cut the 8th wire.
* If there are exactly 6 iron wires, cut the 4th wire.
* If there are exactly 11 navy wires, cut the 12th wire.
* If the 19th wire is watermelon, cut the 5th wire.
* If there are exactly 17 fire wires, cut the 18th wire.
* If there are exactly 2 arctic wires, cut the 1st wire.
* If there are exactly 10 fern wires, cut the 20th wire.
* If there are more than 16 plum wires, cut the 12th wire.
* If there are exactly 3 tiger wires, cut the 13th wire.
* If the 1st wire is arctic, cut the 11th wire.
* If there are exactly 19 ruby wires, cut the 20th wire.
* If there are exactly 10 pearl wires, cut the 4th wire.
* If there are exactly 8 corn wires, cut the 13th wire.
* If the 4th wire is caramel, cut the 6th wire.
* If the 6th wire is cotton, cut the 6th wire.
* If there are exactly 2 squash wires, cut the 12th wire.
* If the 18th wire is orange, cut the 15th wire.
* If there are exactly 12 yellow wires, cut the 3rd wire.
* If the 9th wire is coral, cut the 4th wire.
* If the 6th wire is squash, cut the 12th wire.
* If there are exactly 2 tiger wires, cut the 8th wire.
* If there are more than 11 green wires, cut the 17th wire.
* If there are more than 9 wood wires, cut the 8th wire.
* If there is exactly 1 orange wire, cut the 7th wire.
* If there are exactly 17 butter wires, cut the 10th wire.
* If there are exactly 6 frost wires, cut the 17th wire.
* If there are more than 7 arctic wires, cut the 8th wire.
* If there are more than 11 grape wires, cut the 9th wire.
* If the 9th wire is latte, cut the 8th wire.
* Cut the 1st wire.
